air_temperature,process_temperature,rotational_speed,torque,tool_wear,temp_difference,estimated_power,mechanical_stress,thermal_efficiency,wear_per_operation,target
298.2,308.7,1408,46.3,3,10.5,6826.722724152667,32.88352272727273,1.0352112676056338,2.1306818181818183,0
298.1,308.5,1498,49.4,5,10.399999999999977,7749.387542560967,32.97730307076101,1.0348876216034886,3.3377837116154874,0
298.2,308.6,1433,39.5,7,10.400000000000034,5927.504658915661,27.564549895324493,1.034875922199866,4.884856943475227,0
298.2,308.7,1408,40.0,9,10.5,5897.816608339237,28.40909090909091,1.0352112676056338,6.392045454545455,0
298.1,308.6,1558,42.4,14,10.5,6917.703247400629,27.214377406931963,1.0352230795035222,8.985879332477534,0
298.1,308.6,1527,40.2,16,10.5,6428.264055922363,26.32612966601179,1.0352230795035222,10.478061558611657,0
298.6,309.2,2035,19.6,40,10.599999999999966,4176.85215270275,9.631449631449632,1.0354989953114533,19.656019656019655,0
298.6,309.2,1542,48.4,42,10.599999999999966,7815.528539894543,31.387808041504538,1.0354989953114533,27.237354085603112,0
298.8,309.3,1450,44.8,63,10.5,6802.595292573099,30.89655172413793,1.035140562248996,43.44827586206897,0
299.0,309.4,1758,25.7,68,10.399999999999977,4731.3013681593,14.618885096700796,1.0347826086956522,38.68031854379977,0
299.0,309.5,1861,23.3,73,10.5,4540.784717670103,12.520150456743687,1.0351170568561874,39.226222461042454,0
299.1,309.5,1512,39.0,75,10.399999999999977,6175.114519896098,25.793650793650794,1.0347709796054831,49.6031746031746,0
299.1,309.4,1439,44.2,82,10.299999999999955,6660.574360679816,30.71577484364142,1.0344366432631225,56.98401667824878,0
299.0,309.4,1693,30.1,84,10.399999999999977,5336.445417069278,17.779090372120496,1.0347826086956522,49.61606615475487,0
299.0,309.4,1798,25.5,89,10.399999999999977,4801.296052481282,14.182424916573972,1.0347826086956522,49.49944382647386,0
299.0,309.4,1419,48.3,91,10.399999999999977,7177.251160464705,34.038054968287526,1.0347826086956522,64.12966878083157,0
298.9,309.3,1665,32.5,93,10.400000000000034,5666.647748912589,19.51951951951952,1.0347942455670793,55.85585585585586,0
298.8,309.1,1439,39.2,104,10.300000000000011,5907.115722593864,27.241139680333564,1.034471218206158,72.27241139680334,0
298.8,309.1,1350,52.5,111,10.300000000000011,7422.0126441058865,38.888888888888886,1.034471218206158,82.22222222222221,0
298.8,309.1,1362,45.4,113,10.300000000000011,6475.325113873137,33.33333333333333,1.034471218206158,82.9662261380323,0
298.8,309.1,1368,50.8,115,10.300000000000011,7277.436550187683,37.134502923976605,1.034471218206158,84.0643274853801,0
298.8,309.1,1489,49.1,128,10.300000000000011,7656.050824822813,32.975151108126255,1.034471218206158,85.96373404969778,0
298.8,309.1,1418,46.3,133,10.300000000000011,6875.207970773071,32.65162200282087,1.034471218206158,93.79407616361073,0
298.9,309.1,2861,4.6,143,10.200000000000045,1378.1748092277942,1.6078294302691365,1.0341251254600203,49.982523593149246,1
298.9,309.1,1383,54.9,145,10.200000000000045,7951.025431043872,39.69631236442516,1.0341251254600203,104.84454085321764,0
298.7,309.0,1565,35.1,152,10.300000000000011,5752.41322835559,22.42811501597444,1.0344827586206897,97.12460063897764,0
298.7,309.0,1691,30.1,154,10.300000000000011,5330.141287811076,17.80011827321112,1.0344827586206897,91.07037256061501,0
298.8,309.1,1512,40.7,156,10.300000000000011,6444.286178455672,26.91798941798942,1.034471218206158,103.17460317460318,0
298.8,309.1,1477,42.4,158,10.300000000000011,6558.053720417668,28.70683818551117,1.034471218206158,106.97359512525388,0
298.8,309.1,1513,40.3,160,10.300000000000011,6385.171876690622,26.63582286847323,1.034471218206158,105.75016523463317,0
298.8,309.1,1378,54.4,165,10.300000000000011,7850.127946986078,39.477503628447025,1.034471218206158,119.7387518142235,0
298.8,309.1,1393,52.6,167,10.300000000000011,7673.004953176688,37.76022972002872,1.034471218206158,119.8851399856425,0
298.8,309.0,1829,22.9,172,10.199999999999989,4386.092695407342,12.520503007107708,1.034136546184739,94.04045926735921,0
299.0,309.1,1523,38.6,177,10.100000000000023,6156.244020023535,25.34471437951412,1.0337792642140469,116.21799080761653,0
299.0,309.1,1394,45.1,179,10.100000000000023,6583.668172519938,32.352941176470594,1.0337792642140469,128.4074605451937,0
298.8,308.9,1527,32.4,189,10.099999999999966,5180.988940594142,21.218074656188605,1.03380187416332,123.77210216110018,0
298.9,309.0,1410,65.7,191,10.100000000000023,9700.923955019924,46.59574468085107,1.0337905654064905,135.46099290780143,1
298.9,309.1,1452,45.5,196,10.200000000000045,6918.415341735443,31.336088154269973,1.0341251254600203,134.9862258953168,0
298.9,309.1,1369,44.4,198,10.200000000000045,6365.243707291352,32.43243243243243,1.0341251254600203,144.63111760409058,0
299.0,309.1,1592,35.0,200,10.100000000000023,5834.984755267443,21.984924623115578,1.0337792642140469,125.62814070351759,0
298.9,309.0,1601,32.3,202,10.100000000000023,5415.299392674381,20.174890693316677,1.0337905654064905,126.17114303560275,0
298.8,308.9,1379,46.7,204,10.099999999999966,6743.878925877506,33.86511965192168,1.03380187416332,147.93328498912254,0
298.8,308.9,1461,47.9,206,10.099999999999966,7328.487430808518,32.78576317590691,1.03380187416332,140.9993155373032,0
298.8,308.9,1455,41.3,208,10.099999999999966,6292.767164773035,28.384879725085906,1.03380187416332,142.9553264604811,1
298.8,308.9,1398,51.5,0,10.099999999999966,7539.508209350145,36.83834048640916,1.03380187416332,0.0,0
